date,temp,year,monthday
1979-11-19,13.294,1979,2020-11-19
1979-11-20,13.282,1979,2020-11-20
1979-11-21,13.293,1979,2020-11-21
1979-11-22,13.296,1979,2020-11-22
1979-11-23,13.286,1979,2020-11-23
1979-11-24,13.337,1979,2020-11-24
1979-11-25,13.345,1979,2020-11-25
1979-11-26,13.286,1979,2020-11-26
1979-11-27,13.282,1979,2020-11-27
1979-11-28,13.259,1979,2020-11-28
1979-11-29,13.175,1979,2020-11-29
1979-11-30,13.076,1979,2020-11-30
1979-12-01,13.011,1979,2020-12-01
1979-12-02,12.977,1979,2020-12-02
1979-12-03,13.009,1979,2020-12-03
1979-12-04,13.081,1979,2020-12-04
1979-12-05,13.141,1979,2020-12-05
1979-12-06,13.154,1979,2020-12-06
1979-12-07,13.131,1979,2020-12-07
1979-12-08,13.078,1979,2020-12-08
1979-12-09,13.027,1979,2020-12-09
1979-12-10,12.998,1979,2020-12-10
1979-12-11,12.955,1979,2020-12-11
1979-12-12,12.906,1979,2020-12-12
1979-12-13,12.821,1979,2020-12-13
1979-12-14,12.789,1979,2020-12-14
1979-12-15,12.762,1979,2020-12-15
1979-12-16,12.774,1979,2020-12-16
1979-12-17,12.767,1979,2020-12-17
1979-12-18,12.734,1979,2020-12-18
1979-12-19,12.759,1979,2020-12-19
1979-12-20,12.746,1979,2020-12-20
1979-12-21,12.754,1979,2020-12-21
1979-12-22,12.706,1979,2020-12-22
1979-12-23,12.663,1979,2020-12-23
1979-12-24,12.659,1979,2020-12-24
1979-12-25,12.697,1979,2020-12-25
1979-12-26,12.743,1979,2020-12-26
1979-12-27,12.694,1979,2020-12-27
1979-12-28,12.636,1979,2020-12-28
1979-12-29,12.585,1979,2020-12-29
1979-12-30,12.512,1979,2020-12-30
1979-12-31,12.405,1979,2020-12-31
1980-01-01,12.341,1980,2020-01-01
1980-01-02,12.278,1980,2020-01-02
1980-01-03,12.191,1980,2020-01-03
1980-01-04,12.093,1980,2020-01-04
1980-01-05,12.104,1980,2020-01-05
1980-01-06,12.122,1980,2020-01-06
1980-01-07,12.14,1980,2020-01-07
1980-01-08,12.194,1980,2020-01-08
1980-01-09,12.273,1980,2020-01-09
1980-01-10,12.307,1980,2020-01-10
1980-01-11,12.313,1980,2020-01-11
1980-01-12,12.306,1980,2020-01-12
1980-01-13,12.4,1980,2020-01-13
1980-01-14,12.515,1980,2020-01-14
1980-01-15,12.613,1980,2020-01-15
1980-01-16,12.897,1980,2020-01-16
1980-01-17,12.765,1980,2020-01-17
1980-01-18,12.711,1980,2020-01-18
1980-01-19,12.709,1980,2020-01-19
1980-01-20,12.747,1980,2020-01-20
1980-01-21,12.716,1980,2020-01-21
1980-01-22,12.734,1980,2020-01-22
1980-01-23,12.693,1980,2020-01-23
1980-01-24,12.59,1980,2020-01-24
1980-01-25,12.571,1980,2020-01-25
1980-01-26,12.55,1980,2020-01-26
1980-01-27,12.498,1980,2020-01-27
1980-01-28,12.389,1980,2020-01-28
1980-01-29,12.267,1980,2020-01-29
1980-01-30,12.141,1980,2020-01-30
1980-01-31,12.084,1980,2020-01-31
1980-02-01,12.101,1980,2020-02-01
1980-02-02,12.177,1980,2020-02-02
1980-02-03,12.252,1980,2020-02-03
1980-02-04,12.322,1980,2020-02-04
1980-02-05,12.623,1980,2020-02-05
1980-02-06,12.437,1980,2020-02-06
1980-02-07,12.468,1980,2020-02-07
1980-02-08,12.535,1980,2020-02-08
1980-02-09,12.532,1980,2020-02-09
1980-02-10,12.527,1980,2020-02-10
1980-02-11,12.6,1980,2020-02-11
1980-02-12,12.678,1980,2020-02-12
1980-02-13,12.744,1980,2020-02-13
1980-02-14,12.798,1980,2020-02-14
1980-02-15,12.904,1980,2020-02-15
1980-02-16,12.953,1980,2020-02-16
1980-02-17,12.929,1980,2020-02-17
1980-02-18,13.168,1980,2020-02-18
1980-02-19,13.016,1980,2020-02-19
1980-02-20,12.986,1980,2020-02-20
1980-02-21,12.96,1980,2020-02-21
1980-02-22,12.934,1980,2020-02-22
1980-02-23,13.002,1980,2020-02-23
1980-02-24,12.996,1980,2020-02-24
1980-02-25,12.99,1980,2020-02-25
1980-02-26,12.944,1980,2020-02-26
1980-02-27,12.915,1980,2020-02-27
1980-02-28,12.977,1980,2020-02-28
1980-02-29,12.942,1980,2020-02-29
1980-03-01,13.067,1980,2020-03-01
1980-03-02,12.822,1980,2020-03-02
1980-03-03,12.793,1980,2020-03-03
1980-03-04,13.064,1980,2020-03-04
1980-03-05,12.941,1980,2020-03-05
1980-03-06,12.961,1980,2020-03-06
1980-03-07,13.034,1980,2020-03-07
1980-03-08,13.072,1980,2020-03-08
1980-03-09,13.064,1980,2020-03-09
1980-03-10,13.055,1980,2020-03-10
1980-03-11,13.012,1980,2020-03-11
1980-03-12,13.207,1980,2020-03-12
1980-03-13,13.085,1980,2020-03-13
1980-03-14,13.132,1980,2020-03-14
1980-03-15,13.16,1980,2020-03-15
1980-03-16,13.139,1980,2020-03-16
1980-03-17,13.26,1980,2020-03-17
1980-03-18,13.387,1980,2020-03-18
1980-03-19,13.67,1980,2020-03-19
1980-03-20,13.65,1980,2020-03-20
1980-03-21,13.845,1980,2020-03-21
1980-03-22,13.768,1980,2020-03-22
1980-03-23,13.775,1980,2020-03-23
1980-03-24,13.772,1980,2020-03-24
1980-03-25,13.768,1980,2020-03-25
1980-03-26,13.757,1980,2020-03-26
1980-03-27,13.882,1980,2020-03-27
1980-03-28,13.779,1980,2020-03-28
1980-03-29,13.775,1980,2020-03-29
1980-03-30,13.957,1980,2020-03-30
1980-03-31,13.806,1980,2020-03-31
1980-04-01,13.818,1980,2020-04-01
1980-04-02,13.877,1980,2020-04-02
1980-04-03,13.9,1980,2020-04-03
1980-04-04,13.884,1980,2020-04-04
1980-04-05,14.079,1980,2020-04-05
1980-04-06,14.025,1980,2020-04-06
1980-04-07,14.105,1980,2020-04-07
1980-04-08,14.255,1980,2020-04-08
1980-04-09,14.121,1980,2020-04-09
1980-04-10,14.203,1980,2020-04-10
1980-04-11,14.112,1980,2020-04-11
1980-04-12,14.05,1980,2020-04-12
1980-04-13,14.073,1980,2020-04-13
1980-04-14,14.103,1980,2020-04-14
1980-04-15,14.135,1980,2020-04-15
1980-04-16,14.251,1980,2020-04-16
1980-04-17,14.373,1980,2020-04-17
1980-04-18,14.445,1980,2020-04-18
1980-04-19,14.517,1980,2020-04-19
1980-04-20,14.594,1980,2020-04-20
1980-04-21,14.691,1980,2020-04-21
1980-04-22,14.81,1980,2020-04-22
1980-04-23,14.801,1980,2020-04-23
1980-04-24,14.763,1980,2020-04-24
1980-04-25,14.77,1980,2020-04-25
1980-04-26,14.806,1980,2020-04-26
1980-04-27,14.884,1980,2020-04-27
1980-04-28,14.936,1980,2020-04-28
1980-04-29,14.942,1980,2020-04-29
1980-04-30,14.946,1980,2020-04-30
1980-05-01,15.047,1980,2020-05-01
1980-05-02,15.055,1980,2020-05-02
1980-05-03,15.015,1980,2020-05-03
1980-05-04,15.03,1980,2020-05-04
1980-05-05,15.149,1980,2020-05-05
1980-05-06,15.183,1980,2020-05-06
1980-05-07,15.154,1980,2020-05-07
1980-05-08,15.214,1980,2020-05-08
1980-05-09,15.261,1980,2020-05-09
1980-05-10,15.279,1980,2020-05-10
1980-05-11,15.399,1980,2020-05-11
1980-05-12,15.486,1980,2020-05-12
1980-05-13,15.554,1980,2020-05-13
1980-05-14,15.638,1980,2020-05-14
1980-05-15,15.627,1980,2020-05-15
1980-05-16,15.605,1980,2020-05-16
1980-05-17,15.651,1980,2020-05-17
1980-05-18,15.661,1980,2020-05-18
1980-05-19,15.683,1980,2020-05-19
1980-05-20,15.648,1980,2020-05-20
1980-05-21,15.622,1980,2020-05-21
1980-05-22,15.578,1980,2020-05-22
1980-05-23,15.566,1980,2020-05-23
1980-05-24,15.62,1980,2020-05-24
1980-05-25,15.662,1980,2020-05-25
1980-05-26,15.697,1980,2020-05-26
1980-05-27,15.7,1980,2020-05-27
1980-05-28,15.711,1980,2020-05-28
1980-05-29,15.749,1980,2020-05-29
1980-05-30,15.837,1980,2020-05-30
1980-05-31,15.9,1980,2020-05-31
1980-06-01,15.876,1980,2020-06-01
1980-06-02,15.782,1980,2020-06-02
1980-06-03,15.769,1980,2020-06-03
1980-06-04,15.801,1980,2020-06-04
1980-06-05,15.792,1980,2020-06-05
1980-06-06,15.829,1980,2020-06-06
1980-06-07,15.842,1980,2020-06-07
1980-06-08,15.937,1980,2020-06-08
1980-06-09,15.988,1980,2020-06-09
1980-06-10,16.026,1980,2020-06-10
1980-06-11,16.02,1980,2020-06-11
1980-06-12,15.925,1980,2020-06-12
1980-06-13,15.9,1980,2020-06-13
1980-06-14,15.906,1980,2020-06-14
1980-06-15,15.961,1980,2020-06-15
1980-06-16,16.101,1980,2020-06-16
1980-06-17,16.188,1980,2020-06-17
1980-06-18,16.224,1980,2020-06-18
1980-06-19,16.174,1980,2020-06-19
1980-06-20,16.141,1980,2020-06-20
1980-06-21,16.12,1980,2020-06-21
1980-06-22,16.147,1980,2020-06-22
1980-06-23,16.234,1980,2020-06-23
1980-06-24,16.282,1980,2020-06-24
1980-06-25,16.358,1980,2020-06-25
1980-06-26,16.419,1980,2020-06-26
1980-06-27,16.406,1980,2020-06-27
1980-06-28,16.292,1980,2020-06-28
1980-06-29,16.236,1980,2020-06-29
1980-06-30,16.278,1980,2020-06-30
1980-07-01,16.319,1980,2020-07-01
1980-07-02,16.316,1980,2020-07-02
1980-07-03,16.322,1980,2020-07-03
1980-07-04,16.313,1980,2020-07-04
1980-07-05,16.34,1980,2020-07-05
1980-07-06,16.358,1980,2020-07-06
1980-07-07,16.309,1980,2020-07-07
1980-07-08,16.293,1980,2020-07-08
1980-07-09,16.273,1980,2020-07-09
1980-07-10,16.245,1980,2020-07-10
